region,M01_NZ,M02_NZ,M03_NZ,M04_NZ,M05_NZ,M06_NZ,M07_NZ,M08_NZ,M09_NZ,M10_NZ,M11_NZ,M12_NZ,M13_NZ
FRP,-0.01720965488,0.2034193567,-0.03694366944,0.1699203864,0.005731389833,0.03197452886,0.09349567617,0.4677522019,0.01479222687,-0.01293094691,0.02232516256,0.2669331206,0.792060676
PL,-0.001035714505,0.07429997824,-0.003696683315,0.03862498505,0.00108421838,0.009951766091,0.02307784701,0.2193584792,0.01227471846,-0.0004981798076,0.009690166108,0.1522814535,0.9595767221
ILA,-0.004763331272,0.1000764068,-0.01524902801,0.08794239797,0.002696572974,0.02770007484,0.06320342914,0.2955398345,0.02312533609,-0.002278374341,0.02459170296,0.2307885674,0.9140429451
AId,0.011913725,0.150592755,-0.01743350051,0.1614860119,0.003211928973,0.01649698382,0.074439203,0.3705911509,0.01846406353,-0.005595229285,0.02207278782,0.2221806989,0.8702948145
AIv,0.02263158272,0.1283725967,-0.07482008731,0.2350221333,0.003892625493,0.02292727126,0.1693186423,0.4854588753,0.01699535272,-0.04907207561,0.02588721486,0.2944996335,0.7531253628
ACAd,-0.001980087195,0.06332649057,-0.01146434544,0.06941997113,0.003088362991,0.0119300245,0.05010692202,0.2285462137,0.01618929556,-0.003988276616,0.01868078951,0.2177485531,0.9423894781
ACAv,-0.00104902592,0.03086371805,-0.002264281342,0.01930467416,0.001055399321,0.006595853158,0.0164184742,0.1307343463,0.01115510632,-0.0002437794746,0.007955111926,0.1244526191,0.9826426839
ORBl,0.001169285648,0.04945101883,-0.00335374212,0.03060846364,0.000973590634,0.006597509244,0.0214823473,0.1471400318,0.006344625899,-0.0006107756416,0.005723445686,0.1045895757,0.9815480549
ORBvl,-0.0001813122841,0.04173578105,-0.002265954551,0.02663962501,0.001162330116,0.006784767214,0.02265473198,0.1575195537,0.008861464872,-0.0002470230771,0.007627462167,0.1327353182,0.976941568
ORBm,0.002170791423,0.07111907605,-0.002234250259,0.05964522021,0.001603360477,0.01015345727,0.0389653213,0.2179715799,0.0106901387,0.0002919830949,0.01056122178,0.1428269253,0.9600071962
MOs,0.0007006700246,0.00231463339,-0.01200741236,0.04405407572,0.006556373835,0.006140404997,0.0633484483,0.1032808755,0.02011435176,-0.003518714314,0.02245850619,0.2480712827,0.9595248001
POST,0.01938293884,0.1753575937,-0.09148100701,0.1919914835,0.02142877635,0.05457078358,0.1567860256,0.4330239191,0.0949365755,-0.02735516756,0.03887718569,0.4062679089,0.7292389653
PRE,0.02450506996,0.1219792542,-0.02624669895,0.1706146676,0.01389588941,0.0322272654,0.1172004995,0.4882457995,0.05012284075,-0.004400668737,0.03179741557,0.3492245449,0.7588611042
ProS,-0.00644564897,0.0419557104,-0.01935912315,0.08779379423,0.002969942827,0.01104674323,0.06497278904,0.2690225702,0.01499742524,-0.006157800903,0.02071043025,0.2402911483,0.9246397078
SUB,0.0006500412194,0.02933251763,-0.01544054964,0.08325883249,0.005185606852,0.009902439199,0.0778319885,0.2266560008,0.01844946853,-0.005830753328,0.02405502587,0.2762670744,0.9258166697
CA3,-0.02057771663,0.01578578128,-0.03078133597,0.01897359128,-0.003052434576,0.01168951638,0.053017731,0.2398917388,0.009748038312,-0.02530567093,0.006683087573,0.1122794207,0.9613158988
PAR,-0.003981380769,0.004124856371,-0.01978488046,0.04212885347,0.006682720693,0.008528227715,0.06262709865,0.1659256486,0.01993064286,-0.003595339855,0.02032611932,0.2043311538,0.9610699559
CA1,0.0003970441225,0.02341481185,-0.00607530617,0.06196944269,0.00215873192,0.004411219835,0.05701522483,0.1418766159,0.01558902152,-0.000966167149,0.01799272358,0.2559125143,0.9518990149
DG,0.03312494613,0.01354298559,0.007232259666,0.01218979835,0.01011102806,0.008246832843,0.02070946089,0.06869073447,0.1317750304,0.0005457530102,0.01084617057,0.1576812655,0.9751178951
MOp,-0.007392156536,-0.01315605509,-0.01586292794,0.01580873167,0.008815501904,0.004148099994,0.07178576263,0.06923518591,0.02181025162,-0.005285780843,0.02315324321,0.2412836244,0.9643503578
SSs,-0.00771872126,-0.01631920772,-0.01955849983,0.02308030911,0.01220984769,0.006217057641,0.08439969649,0.08130891412,0.03078777426,-0.006306568603,0.03018861047,0.2839863843,0.9498891568
