fig2_order,region,cluster,param_um,strength_threshold,node,sparsity,invalid_log10_1p8NZ_motifs,M01_motif_count,M02_motif_count,M03_motif_count,M04_motif_count,M05_motif_count,M06_motif_count,M07_motif_count,M08_motif_count,M09_motif_count,M10_motif_count,M11_motif_count,M12_motif_count,M13_motif_count,M01_log10_1p8NZ,M02_log10_1p8NZ,M03_log10_1p8NZ,M04_log10_1p8NZ,M05_log10_1p8NZ,M06_log10_1p8NZ,M07_log10_1p8NZ,M08_log10_1p8NZ,M09_log10_1p8NZ,M10_log10_1p8NZ,M11_log10_1p8NZ,M12_log10_1p8NZ,M13_log10_1p8NZ
1,FRP,1,5,0.1,222,0.0358322123,,4789,23888,6656,3787,880,2480,255,1226,64,31,116,189,45,-0.0464870196,0.40545012,-0.13119152,0.363679431,0.0215861631,0.0937597584,0.230873948,0.651066632,0.0522543103,-0.0386163097,0.073190569,0.497669802,0.876233325
2,PL,1,5,0.1,1384,0.00990924061,,116921,1167386,183074,66792,12540,88570,2986,25477,1839,562,1933,2580,636,-0.001922814,0.200623546,-0.00994953824,0.118909898,0.0040505102,0.0336715072,0.0767796431,0.427547185,0.0439077,-0.00100001736,0.034990803,0.352282432,0.938964607
3,ILA,1,5,0.1,225,0.0251587302,,2754,16268,3504,2340,453,2497,217,860,93,27,108,176,36,-0.0129288023,0.25856678,-0.0528577953,0.2309435,0.0128112848,0.0949519847,0.205148478,0.537226189,0.0887074484,-0.00710849274,0.0784176486,0.505114023,0.912548081
4,AId,1,5,0.1,1166,0.0187243722,,347349,1155464,348034,136766,25175,84513,6111,30027,2260,1271,3342,3279,655,0.0524719995,0.35568914,-0.0609541764,0.377333335,0.0118013233,0.0553561512,0.201899716,0.597520656,0.0645097404,-0.0175802158,0.0786809758,0.456874243,0.898309625
5,AIv,1,5,0.1,422,0.0590278169,,124154,204068,97748,58115,16092,28719,5564,13801,1321,571,2223,2738,544,0.0947385826,0.321777887,-0.415256283,0.494592147,0.0175077192,0.0780508839,0.399503084,0.68506792,0.0630551928,-0.20739984,0.0932782101,0.532027814,0.838580216
6,ACAd,1,5,0.1,1225,0.0238915566,,458914,1719561,580917,204519,78214,219632,16835,71699,8603,3272,10683,13244,3473,-0.00289858874,0.175837533,-0.0374392429,0.192411169,0.0114945816,0.0396873831,0.147754297,0.441351223,0.0564422771,-0.011164422,0.0615790225,0.42970366,0.932808595
7,ACAv,1,5,0.1,983,0.0131802765,,66751,506813,107262,37598,12032,63194,2800,21070,2237,519,1989,3265,1191,-0.00261271066,0.0894145151,-0.00675857972,0.0587556632,0.00356616859,0.0213329706,0.0549334902,0.301419788,0.0363896906,-0.000531723038,0.0264352363,0.29988553,0.947811968
8,ORBl,1,5,0.1,892,0.0122060163,,60719,371676,69651,27541,5470,27501,1611,10224,541,191,686,1203,496,0.00531558897,0.137293918,-0.00981671533,0.0897742318,0.00355263886,0.0214626241,0.0695274369,0.324764425,0.020796329,-0.00151165052,0.020319258,0.270129854,0.947464356
9,ORBvl,1,5,0.1,907,0.00974636808,,34649,278820,50706,20781,4871,22783,1294,8404,555,153,647,998,319,0.000355139742,0.113563798,-0.00580403283,0.0774046105,0.00432109665,0.0221008415,0.0693594748,0.330312586,0.0278546774,-0.000509205944,0.0244787586,0.311048843,0.946365407
10,ORBm,1,5,0.1,677,0.00904180469,,17069,125079,20357,11799,1447,7480,551,3062,162,124,234,287,67,0.0106106317,0.192334831,-0.00572577699,0.166557281,0.00605497865,0.0349852629,0.120460183,0.44495403,0.0360828409,0.00152437424,0.03863335,0.365957789,0.936635079
11,MOs,1,5,0.1,2261,0.0277931294,,4416786,4457340,4489905,1117885,1248189,1140444,189259,289613,106330,56073,125050,127744,29244,0.00877192947,0.00951011833,-0.0381712231,0.129399797,0.0220807835,0.0198105088,0.182944124,0.255747881,0.0669243058,-0.00723654385,0.0753612751,0.474639925,0.938424552
12,POST,2,5,0.1,152,0.0337225514,,2408,3919,1454,686,381,525,70,140,58,4,31,47,4,0.172017525,0.404448018,-0.82529928,0.444859725,0.106982036,0.155435471,0.407626905,0.618803297,0.308955712,-0.100004276,0.151284638,0.729150075,0.774765317
13,PRE,2,5,0.1,416,0.0121756256,,8512,15971,7221,2484,507,1245,121,435,35,23,34,43,7,0.106474575,0.267214115,-0.0686829802,0.35895586,0.0274668744,0.0763283777,0.258942267,0.593722519,0.0833017119,-0.00795160244,0.061966843,0.456390829,0.902088584
14,ProS,2,5,0.1,677,0.0311022349,,111470,321251,111984,72453,20177,50423,6478,24974,2547,861,3614,5078,1239,-0.0177911201,0.138487997,-0.0774120255,0.254922477,0.0119713945,0.0410490996,0.19556947,0.499058029,0.0581028971,-0.0197629514,0.073067637,0.498863061,0.919890629
15,SUB,2,5,0.1,928,0.0318474966,,401378,758564,376335,192747,84829,134830,22316,60239,8915,3400,11907,16110,3525,0.0122398271,0.0972076504,-0.0509083262,0.229656257,0.0186063987,0.0332582357,0.219377057,0.444856038,0.0648372208,-0.0158094852,0.0799502793,0.514976604,0.923634121
16,CA3,2,5,0.1,1066,0.130913687,,3589706,7740835,4905390,3026750,1560785,3133879,518483,1770614,341840,107527,406972,693065,233328,-0.0803554987,0.054748652,-0.127514068,0.0734944348,-0.00747022043,0.0434474161,0.163746631,0.466060088,0.0383217724,-0.10178629,0.0360598017,0.30071871,0.938162643
17,PAR,2,5,0.1,257,0.0365697957,,8454,11934,6940,4231,2392,3248,698,1916,275,141,335,606,215,-0.0109642704,0.0199980492,-0.0689276698,0.126691667,0.019357208,0.0290459742,0.173499588,0.370447288,0.0563174084,-0.00821192428,0.0562671285,0.416833276,0.93911343
18,CA1,2,5,0.1,4396,0.0153338281,,10195905,28156172,10024167,4757531,1834128,3335252,444381,1073287,206312,68883,249351,267839,46328,0.00374665036,0.0791557685,-0.021860138,0.182979217,0.0078436975,0.0152660075,0.164967542,0.328928936,0.0554053363,-0.00264464546,0.0631828479,0.500804777,0.933435697
19,DG,2,5,0.1,3307,0.0034934787,,3707301,1608590,1587184,98022,413278,321213,7050,22289,46718,3233,5399,4241,615,0.108919779,0.0489399208,0.0267222018,0.0422183762,0.0382047235,0.0298022557,0.0717462104,0.190723011,0.329064667,0.00216161539,0.0395110133,0.358492247,0.943724378
20,MOp,3,5,0.1,957,0.0432499137,,504547,323657,506367,161940,306110,179724,59170,54920,33477,11649,37246,48066,13161,-0.0213569833,-0.0441105885,-0.0551143041,0.0614032559,0.0298389769,0.0146410426,0.204204334,0.186387853,0.0738597827,-0.0134456745,0.0783327054,0.473036908,0.939663064
